Date,Vis_in,Vis_out,IR_in,IR_out
24-Aug,184.1347778,25.06681944,317.2597222,382.5493056
25-Aug,120.4523125,16.00147917,332.6458333,383.9506944
26-Aug,136.5446111,18.84813889,332.8243056,382.6819444
27-Aug,105.3790069,12.66018056,342.3736111,372.8388889
28-Aug,195.1494556,26.20563611,301.5804167,379.1470833
29-Aug,183.1513264,25.09395139,300.9630556,378.4044445
30-Aug,172.3672222,23.51513056,316.1333333,390.0291667
31-Aug,84.00740278,12.14325694,324.0072222,373.8615278
1-Sep,176.0793333,24.34145833,320.7618056,389.3048611
2-Sep,112.3973819,15.77960139,321.6368056,368.47
3-Sep,74.87730556,10.32227083,328.9173611,359.9694444
4-Sep,83.19578472,11.89096528,324.475,365.8819444
5-Sep,57.98750278,7.757848611,336.0072222,353.0181945
6-Sep,124.7775,15.70230556,333.0569445,363.5466667
7-Sep,181.7205417,24.45653472,311.4694445,375.93125
8-Sep,142.0369444,20.3120625,311.3120833,375.2938889
9-Sep,146.1231042,20.07757639,336.2095833,384.4138889
10-Sep,138.6832389,20.15175555,312.8668055,376.9961111
11-Sep,130.3220736,18.65291528,319.4051389,381.75625
12-Sep,175.1062722,25.22409028,306.3177778,385.955
13-Sep,177.7345278,25.98742361,300.33125,386.3458333
14-Sep,174.9890764,25.69664583,294.2347222,378.5902778
15-Sep,169.4992708,24.57040972,307.5180556,386.1777778
16-Sep,146.2341944,21.87777778,319.2777778,388.0243056
17-Sep,121.2691389,18.3034375,319.1951389,381.8805556
18-Sep,147.8480139,21.931625,324.3798611,389.2340278
19-Sep,70.00097917,10.71708333,318.0868056,357.0020833
20-Sep,156.3454583,20.65493056,324.0388889,372.3173611
21-Sep,165.1755833,23.17710417,287.1180556,362.9131944
22-Sep,164.0998611,23.74498611,286.4388889,364.2076389
23-Sep,141.7993403,20.66211806,297.8138889,363.6513889
24-Sep,66.71029167,8.956333333,324.6388889,354.1625
25-Sep,163.8934722,24.58186111,279.10625,352.1006944
26-Sep,159.0274653,24.17797917,275.1972222,349.1375
27-Sep,156.0581319,23.86792361,279.8263889,354.1444445
28-Sep,156.3502222,24.24384722,282.7354167,358.3118056
29-Sep,148.707875,23.02470833,289.6194445,361.3625
30-Sep,146.3256181,23.0011875,298.5361111,368.4381945
1-Oct,58.73541667,7.627458333,322.15,339.9236111
2-Oct,63.53129167,7.946555555,319.6090278,336.7722222
3-Oct,138.3468194,19.11385417,297.5923611,344.2368056
4-Oct,124.3359236,18.34415278,297.3277778,355.1423611
5-Oct,122.4589514,18.40090278,300.3826389,357.3013889
6-Oct,108.0043889,16.81528472,275.0138889,335.4020833
7-Oct,141.0200347,22.03606944,267.35,339.7534722
8-Oct,139.2979236,22.2094375,268.6777778,339.31875
9-Oct,53.13339584,50.01811805,292.0888889,311.0986111
10-Oct,141.7894167,72.17890278,250.2736111,299.4020833
11-Oct,130.32125,30.91681945,264.1152778,320.25
12-Oct,128.371375,19.76573611,274.5444444,334.6763889
13-Oct,132.8215486,20.62538889,271.4611111,336.1354167
14-Oct,133.0568819,22.15534722,263.3701389,333.3868056
15-Oct,130.9804861,21.34774306,245.0034722,317.7152778
16-Oct,132.2340764,21.938,248.9208333,323.8597222
17-Oct,124.9015486,20.15382639,258.0819445,328.7597222
18-Oct,119.1579375,19.10158333,265.1638889,332.4180556
19-Oct,105.6882153,16.54124306,282.0770833,339.4597222
20-Oct,99.10665278,15.95397917,300.9375,344.3534722
21-Oct,122.0365625,32.18740278,280.5618056,312.1125
22-Oct,117.8743819,18.48515972,253.9048611,314.0145833
23-Oct,117.8950278,19.84240278,276.8506944,333.4972222
24-Oct,111.3349167,18.29739583,263.8055556,329.9916667
25-Oct,114.980375,19.45478472,261.4979167,325.9756945
26-Oct,105.7224028,17.99539583,265.3173611,322.2868056
27-Oct,102.6969722,17.49303472,254.2645833,317.5527778
28-Oct,77.15129167,13.2088125,289.4388889,330.0888889
29-Oct,109.6483194,18.70725,261.2506944,322.5222222
30-Oct,76.71832639,12.27633333,278.3020833,322.0277778
31-Oct,37.68651389,24.56111806,309.06875,319.7583333
1-Nov,101.5679167,44.2658125,277.4354167,324.9083333
2-Nov,94.22253472,25.59086806,272.0763889,322.8083333
3-Nov,100.2374861,18.01425694,264.8319444,319.2423611
4-Nov,22.40855556,4.879305555,310.2465278,323.9222222
5-Nov,42.15908333,8.449562501,309.3833333,326.3875
6-Nov,48.68570139,18.77436806,307.4097222,317.9798611
7-Nov,69.29715972,16.15272917,284.13125,318.4826389
8-Nov,97.29684722,35.03313889,288.625,298.3708333
9-Nov,90.76297917,16.87061806,247.5256944,305.4993056
10-Nov,90.25757639,15.22545833,256.3541667,311.91875
11-Nov,79.54688888,14.73473611,251.2368056,307.3076389
12-Nov,80.41805556,12.71105556,248.5013889,304.4423611
13-Nov,88.91805555,15.21863194,268.4236111,319.3152778
14-Nov,80.39353473,13.81876389,257.4701389,313.8361111
15-Nov,75.36058333,12.66788194,251.2701389,307.3743056
16-Nov,76.48233334,12.63210417,270.6381945,313.6847222
17-Nov,25.06585416,7.309333333,316.4638889,321.6222222
18-Nov,92.85220138,56.37015278,245.6395833,272.2118056
19-Nov,92.2476875,53.10970139,227.8708333,263.0680556
20-Nov,66.77129166,42.02307639,238.2826389,273.2618056
21-Nov,60.44322917,42.44129861,290.7090278,308.6909722
22-Nov,51.71515278,34.28975694,269.2152778,299.44375
23-Nov,64.86400694,35.02898612,278.33125,304.4826389
24-Nov,45.93450695,24.54315972,281.8104167,307.6027778
25-Nov,78.09904861,33.12002083,256.9666667,304.3743056
26-Nov,75.9815,28.21856944,263.6694445,307.2861111
27-Nov,67.78634028,22.12209028,267.2986111,309.9291667
28-Nov,71.82504861,20.66816667,263.7069444,312.2520833
29-Nov,61.52284028,17.28752083,248.0909722,297.8465278
30-Nov,75.29594444,19.78577083,241.1645833,297.6847222
1-Dec,39.11521528,9.61925,279.1597222,304.8263889
2-Dec,72.92632639,15.26909722,287.8145833,320.1027778
3-Dec,50.44365972,10.25134028,264.5104167,304.9583333
4-Dec,78.69228472,41.39804861,239.7875,280.4604167
5-Dec,78.67347916,35.18547222,212.4618056,256.0805556
6-Dec,77.49032639,34.18557639,206.8305556,259.4916667
7-Dec,48.67286805,23.71288194,220.3298611,260.9055556
8-Dec,71.41365973,29.38622222,240.2569444,291.4729167
9-Dec,72.495375,23.64440278,218.9034722,278.4319444
10-Dec,72.23286805,21.24877083,215.84375,274.6493056
11-Dec,71.28540973,19.59864583,227.8645833,282.9909722
12-Dec,70.23189584,17.44546528,236.7666667,288.7805556
13-Dec,40.93191666,9.327715278,257.1847222,290.2180556
14-Dec,71.03597917,16.39976389,259.6041667,300.5895833
15-Dec,69.58164583,15.83549306,218.2638889,275.7597222
16-Dec,31.06063195,6.761777778,252.6291667,283.15625
17-Dec,64.28075694,14.68543056,231.13125,282.6743055
18-Dec,68.70320833,14.92940278,227.0902778,278.0652778
19-Dec,68.71888889,14.87370833,234.6895833,284.6083333
20-Dec,48.82755556,9.787770833,255.1590278,289.9569444
21-Dec,34.32205556,8.635708333,282.5770834,296.7173611
22-Dec,79.53599306,47.06517361,239.9680556,252.7375
23-Dec,18.08556944,14.75317361,282.3611111,286.6909722
24-Dec,62.21215972,42.57779861,235.7722222,273.0791667
25-Dec,40.24240277,33.49936805,289.25625,293.3770833
26-Dec,68.81825,49.74193056,243.2451389,284.0097222
27-Dec,74.45045139,49.72254862,229.4166667,263.0423611
28-Dec,72.45956944,49.57933334,240.88125,275.7194444
29-Dec,72.17753472,49.57457639,234.2326389,272.9041667
30-Dec,78.65683334,54.23594444,266.0868056,304.0645833
31-Dec,60.90815278,41.77552083,270.9270833,302.1256944
1-Jan,72.60404167,48.06254861,229.3722222,266.4097222
